Appendix,Scientific_Name
APPENDIX II,Adenia olaboensis var. olaboensis  
APPENDIX II,Adenia subsessilifolia 
APPENDIX II,Uncarina grandidieri
APPENDIX II,Harpagophytum dimidiatum
APPENDIX II,Harpagophytum grandidieri
APPENDIX II,Uncaria grandidieri
APPENDIX II,Uncarina didieri
APPENDIX II,Uncarina dimidiata
APPENDIX II,Uncarina stellulifera 
APPENDIX II,Anacampseros spp.
APPENDIX II,Avonia spp. 
APPENDIX II,Lewisia serrata
APPENDIX II,Cyclamen spp
APPENDIX II,Adonis venalis 
APPENDIX II,Rothmannia venalis
APPENDIX II,Hydrastis canadensis 
APPENDIX II,Hydrastis trifolia 
APPENDIX II,Warneria canadensis
APPENDIX II,Prunus africana
APPENDIX II, Pygeum africanum
